"data","cnpj_basico","opition_pelo_simples","date_opcion_simples","date_exclusion_simples","option_mei","date_option_mei","date_exclusion_mei"
"02/2023",599085,"N",20070701,20070701,"N",0,0
"02/2023",730633,"N",20130101,20151231,"N",0,0
"02/2023",1029659,"N",20150101,20151231,"N",0,0
"02/2023",1086402,"N",20070701,20100131,"N",0,0
"02/2023",1429390,"S",20070701,0,"N",0,0
"02/2023",1459311,"S",20090101,0,"N",0,0
"02/2023",1487469,"N",20120101,20211231,"N",0,0
"02/2023",1529953,"N",20140101,20140101,"N",0,0
"02/2023",1534280,"S",20070701,0,"N",0,0
"02/2023",1611609,"S",20170101,0,"N",0,0
"02/2023",1666348,"S",20090101,0,"N",0,0
"02/2023",1673330,"N",20070701,20071231,"N",0,0
"02/2023",1678213,"S",20210101,0,"N",0,0
"02/2023",1705491,"N",20120101,20130228,"N",0,0
"02/2023",1750423,"N",20070701,20071231,"N",0,0
"02/2023",1890241,"N",20070701,20080131,"N",0,0
"02/2023",1907160,"N",20070701,20081231,"N",0,0
"02/2023",1932512,"N",20100101,20161231,"N",0,0
"02/2023",1990642,"N",20160101,20201231,"N",0,0
"02/2023",2038304,"N",20070701,20081231,"N",0,0
"02/2023",2135611,"S",20090101,0,"N",0,0
"02/2023",2175556,"N",20150101,20221231,"N",0,0
"02/2023",2225665,"N",20070701,20161231,"N",0,0
"02/2023",2251531,"N",20100101,20120702,"N",0,0
"02/2023",2251554,"S",20130101,0,"N",0,0
"02/2023",2384720,"N",20130101,20161231,"N",0,0
"02/2023",2404800,"N",20150101,20150101,"N",0,0
"02/2023",2406232,"N",20090101,20091231,"N",0,0
"02/2023",2457191,"N",20070701,20070701,"N",0,0
"02/2023",2510856,"N",20080101,20181231,"N",0,0
"02/2023",2553974,"N",20160101,20191231,"N",0,0
"02/2023",2702269,"N",20150101,20211231,"N",0,0
"02/2023",2742094,"N",20160101,20170531,"N",0,0
"02/2023",2749762,"S",20070701,0,"N",0,0
"02/2023",2768410,"N",20070701,20070701,"N",0,0
"02/2023",2785337,"S",20170101,0,"N",0,0
"02/2023",2897893,"N",20090101,20140531,"N",0,0
"02/2023",2939423,"S",20070701,0,"N",0,0
"02/2023",2955168,"S",20070701,0,"N",0,0
"02/2023",3042324,"N",20070701,20121231,"N",0,0
"02/2023",3066598,"N",20150101,20150101,"N",0,0
"02/2023",3230007,"S",20100101,0,"N",0,0
"02/2023",3243534,"N",20070701,20081231,"N",0,0
"02/2023",3281162,"N",20140101,20220112,"N",0,0
"02/2023",3303279,"S",20070701,0,"N",0,0
"02/2023",3357271,"S",20150101,0,"N",0,0
"02/2023",3357706,"N",20070701,20081231,"N",0,0
"02/2023",3372250,"N",20090101,20171231,"N",0,0
"02/2023",3384882,"S",20070701,0,"N",0,0
"02/2023",3420799,"N",20170101,20191231,"N",0,0
"02/2023",3425624,"S",20150101,0,"N",0,0
"02/2023",3496408,"N",20150101,20221231,"N",0,0
"02/2023",3509630,"N",20070701,20070701,"N",0,0
"02/2023",3583650,"N",20170101,20210930,"N",0,0
"02/2023",3636482,"N",20070701,20071231,"N",0,0
"02/2023",3738043,"N",20070701,20170531,"N",0,0
"02/2023",3793920,"N",20070701,20161231,"N",0,0
"02/2023",3797793,"S",20070701,0,"N",0,0
"02/2023",3832125,"N",20070701,20081231,"N",0,0
"02/2023",3850521,"N",20130101,20161231,"N",0,0
"02/2023",3901991,"S",20070701,0,"N",0,0
"02/2023",3904603,"S",20150101,0,"N",0,0
"02/2023",3906433,"S",20070701,0,"N",0,0
"02/2023",3918058,"N",20070701,20101231,"N",0,0
"02/2023",3929520,"S",20090101,0,"N",0,0
"02/2023",3961391,"N",20150101,20161231,"N",0,0
"02/2023",4014952,"S",20070701,0,"N",0,0
"02/2023",4032229,"N",20140101,20220525,"N",0,0
"02/2023",4091544,"N",20070701,20141231,"N",0,0
"02/2023",4112748,"N",20100101,20120731,"N",0,0
"02/2023",4140503,"N",20120101,20181231,"N",0,0
"02/2023",4153453,"N",20090101,20121231,"N",0,0
"02/2023",4169080,"N",20170101,20181231,"N",0,0
"02/2023",4211885,"N",20070701,20081231,"N",0,0
"02/2023",4256828,"N",20090101,20091231,"N",0,0
"02/2023",4276837,"N",20070701,20070701,"N",0,0
"02/2023",4299302,"S",20070701,0,"N",0,0
"02/2023",4331042,"N",20070701,20131231,"N",0,0
"02/2023",4334605,"N",20080101,20091231,"N",0,0
"02/2023",4342493,"N",20150101,20161231,"N",0,0
"02/2023",4345740,"N",20150101,20151231,"N",0,0
"02/2023",4398992,"N",20070701,20070701,"N",0,0
"02/2023",19982801,"S",20140331,0,"N",0,0
"02/2023",20055762,"S",20140206,0,"N",0,0
"02/2023",20136296,"S",20140425,0,"N",0,0
"02/2023",20239911,"S",20140513,0,"N",0,0
"02/2023",20316053,"N",20150101,20180326,"N",0,0
"02/2023",20553124,"N",20150101,20191231,"N",0,0
"02/2023",20653130,"N",20160101,20160831,"N",0,0
"02/2023",20654912,"S",20150101,0,"N",0,0
"02/2023",20739030,"S",20150101,0,"N",0,0
"02/2023",20776152,"S",20170101,0,"N",0,0
"02/2023",20777354,"S",20140805,0,"N",0,0
"02/2023",20782060,"S",20170101,0,"N",0,0
"02/2023",20856980,"S",20140725,0,"N",0,0
"02/2023",20890392,"N",20140822,20211231,"N",0,0
"02/2023",20891738,"S",20140822,0,"N",0,0
"02/2023",20946252,"S",20140901,0,"N",0,0
"02/2023",20960069,"S",20160101,0,"N",0,0
"02/2023",20982486,"S",20170101,0,"N",0,0
"02/2023",21014198,"N",20140910,20181231,"N",0,0
"02/2023",21056088,"N",20140915,20171231,"N",0,0
"02/2023",21203405,"S",20200101,0,"N",0,0
"02/2023",21261747,"S",20141020,0,"N",0,0
"02/2023",21295565,"S",20141027,0,"N",0,0
"02/2023",21337648,"S",20160101,0,"N",0,0
"02/2023",21346254,"S",20141105,0,"N",0,0
"02/2023",21355763,"N",20150101,20191231,"N",0,0
"02/2023",21362251,"N",20160101,20161231,"N",0,0
"02/2023",21398137,"N",20160101,20161231,"N",0,0
"02/2023",21441410,"S",20141120,0,"N",0,0
"02/2023",21449073,"S",20160101,0,"N",0,0
"02/2023",21546015,"S",20070701,0,"N",0,0
"02/2023",21551464,"S",20170101,0,"N",0,0
"02/2023",21564396,"S",20150101,0,"N",0,0
"02/2023",21591749,"N",20170101,20191031,"N",0,0
"02/2023",21743242,"N",20150126,20151210,"N",0,0
"02/2023",21839615,"N",20150206,20150206,"N",0,0
"02/2023",21880660,"N",20150213,20150213,"N",0,0
"02/2023",21922654,"N",20150220,20191231,"N",0,0
"02/2023",22016663,"S",20170101,0,"N",0,0
"02/2023",22029957,"N",20170101,20211231,"N",0,0
"02/2023",22109459,"N",20160101,20160101,"N",0,0
"02/2023",22208575,"S",20150408,0,"N",0,0
"02/2023",22223067,"N",20150408,20221231,"N",0,0
"02/2023",22223832,"N",20210101,20220609,"N",0,0
"02/2023",22224764,"N",20150410,20190131,"N",0,0
"02/2023",22278277,"S",20150416,0,"N",0,0
"02/2023",22280275,"S",20070701,0,"N",0,0
"02/2023",22357000,"N",20170101,20170101,"N",0,0
"02/2023",22373232,"S",20150504,0,"N",0,0
"02/2023",22433867,"N",20150513,20221231,"N",20150513,20220531
"02/2023",22484039,"S",20150519,0,"N",0,0
"02/2023",22485747,"N",20150519,20191216,"N",0,0
"02/2023",22494476,"N",20150521,20211231,"N",0,0
"02/2023",22494641,"S",20180101,0,"N",0,0
"02/2023",22495632,"S",20150521,0,"N",0,0
"02/2023",22499590,"S",20210101,0,"N",0,0
"02/2023",22533549,"S",20170101,0,"N",0,0
"02/2023",22542562,"S",20150526,0,"N",0,0
"02/2023",22576040,"N",20150602,20200318,"N",0,0
"02/2023",22585277,"S",20070701,0,"N",0,0
"02/2023",22645967,"S",20150610,0,"N",0,0
"02/2023",22675414,"S",20150618,0,"N",0,0
"02/2023",22750230,"N",20150629,20191018,"N",0,0
"02/2023",22750309,"S",20150629,0,"N",0,0
"02/2023",22762278,"S",20150701,0,"N",0,0
"02/2023",22790456,"N",20180101,20200115,"N",0,0
"02/2023",22796842,"S",20150702,0,"N",0,0
"02/2023",22812201,"N",20150708,20190227,"N",0,0
"02/2023",22823733,"S",20150710,0,"N",0,0
"02/2023",22881009,"S",20150720,0,"N",0,0
"02/2023",22900516,"N",20160101,20161231,"N",0,0
"02/2023",22911310,"S",20150722,0,"N",0,0
"02/2023",22920740,"N",20150723,20191212,"N",0,0
"02/2023",22929349,"S",20160101,0,"N",0,0
"02/2023",23007029,"S",20150806,0,"N",0,0
"02/2023",23041201,"N",20150807,20151130,"N",0,0
"02/2023",23050562,"S",20150812,0,"N",0,0
"02/2023",23065230,"S",20150813,0,"N",0,0
"02/2023",23095902,"N",20150819,20210930,"N",0,0
"02/2023",23176759,"N",20150831,20151031,"N",0,0
"02/2023",23211322,"S",20150903,0,"N",0,0
"02/2023",23215906,"S",20150903,0,"N",0,0
"02/2023",23235425,"S",20150908,0,"N",0,0
"02/2023",23256759,"S",20160101,0,"N",0,0
"02/2023",23274828,"N",20170101,20220418,"N",0,0
"02/2023",23304444,"S",20150917,0,"N",0,0
"02/2023",23304467,"S",20150918,0,"N",0,0
"02/2023",23304493,"S",20150918,0,"N",0,0
"02/2023",23332198,"N",20150922,20150922,"N",0,0
"02/2023",23405160,"N",20070701,20070701,"N",0,0
"02/2023",23408270,"N",20170101,20171231,"N",0,0
"02/2023",23419375,"N",20170101,20190509,"N",0,0
"02/2023",23518752,"N",20151022,20211231,"N",0,0
"02/2023",23529048,"N",20160101,20160101,"N",0,0
"02/2023",23603887,"N",20151104,20151104,"N",0,0
"02/2023",23680476,"S",20170101,0,"N",0,0
"02/2023",23691226,"S",20170101,0,"N",0,0
"02/2023",23721112,"S",20151120,0,"N",0,0
"02/2023",23727645,"N",20151124,20171231,"N",0,0
"02/2023",23819622,"N",20151209,20191213,"N",0,0
"02/2023",23844953,"N",20170101,20181130,"N",0,0
"02/2023",23875450,"S",20151218,0,"N",0,0
"02/2023",23888045,"S",20151223,0,"N",0,0
"02/2023",23924606,"S",20160107,0,"N",0,0
"02/2023",23935907,"N",20160108,20160108,"N",0,0
"02/2023",23982251,"N",20160115,20170228,"N",0,0
"02/2023",24004752,"N",20160119,20201031,"N",20160119,20200531
"02/2023",24023005,"S",20160121,0,"N",0,0
"02/2023",24090786,"N",20160201,20190131,"N",0,0
"02/2023",24118280,"S",20160204,0,"N",0,0
"02/2023",24166590,"S",20210101,0,"N",0,0
"02/2023",24189101,"S",20160217,0,"N",0,0
"02/2023",24293542,"N",20160113,20190417,"N",0,0
"02/2023",24322824,"S",20160307,0,"N",0,0
"02/2023",24337530,"S",20160308,0,"N",0,0
"02/2023",24375251,"N",20160311,20201113,"N",0,0
"02/2023",24400370,"S",20160316,0,"N",0,0
"02/2023",24406239,"N",20170101,20170101,"N",0,0
"02/2023",24419671,"S",20160318,0,"N",0,0
"02/2023",24451010,"S",20160323,0,"N",0,0
"02/2023",24468014,"N",20160328,20210930,"N",0,0
"02/2023",24495246,"N",20160331,20171231,"N",0,0
"02/2023",24537720,"N",20160404,20171231,"N",0,0
"02/2023",24537877,"S",20160406,0,"N",0,0
"02/2023",24551185,"N",20160407,20191204,"N",0,0
"02/2023",24568911,"S",20160411,0,"N",0,0
"02/2023",24572596,"S",20130101,0,"N",0,0
"02/2023",24575353,"S",20160412,0,"N",0,0
"02/2023",24585506,"S",20160413,0,"N",0,0
"02/2023",24635504,"S",20160420,0,"N",0,0
"02/2023",24637299,"N",20160420,20171231,"N",0,0
"02/2023",24645922,"S",20151228,0,"N",0,0
"02/2023",24781452,"N",20110101,20181231,"N",0,0
"02/2023",24814276,"N",20160511,20211231,"N",0,0
"02/2023",24819490,"N",20160517,20191231,"N",0,0
"02/2023",24834118,"S",20160518,0,"N",0,0
"02/2023",24834321,"N",20160518,20221231,"N",0,0
"02/2023",24842522,"S",20170101,0,"N",0,0
"02/2023",24858935,"S",20160523,0,"N",0,0
"02/2023",24902770,"S",20160531,0,"N",0,0
"02/2023",24960958,"S",20190101,0,"N",0,0
"02/2023",25016106,"S",20110101,0,"N",0,0
"02/2023",25042154,"N",20160620,20210128,"N",0,0
"02/2023",25137600,"S",20160705,0,"N",0,0
"02/2023",25151985,"N",20170101,20180331,"N",0,0
"02/2023",25175155,"N",20160704,20190331,"N",0,0
"02/2023",25189839,"S",20160708,0,"N",0,0
"02/2023",25216752,"S",20160715,0,"N",0,0
"02/2023",25225252,"S",20160714,0,"N",0,0
"02/2023",25236653,"N",20160712,20190331,"N",0,0
"02/2023",25239964,"S",20160718,0,"N",0,0
"02/2023",25246016,"N",20170101,20180131,"N",0,0
"02/2023",25315991,"N",20160707,20171213,"N",0,0
"02/2023",25382740,"N",20160805,20191231,"N",0,0
"02/2023",26113408,"N",20160831,20171231,"N",0,0
"02/2023",26137485,"N",20160909,20220225,"N",0,0
"02/2023",26229771,"S",20160922,0,"N",0,0
"02/2023",26324404,"S",20161007,0,"N",0,0
"02/2023",26425224,"S",20161026,0,"N",0,0
"02/2023",26475679,"S",20161103,0,"N",0,0
"02/2023",26565223,"N",20161118,20190331,"N",0,0
"02/2023",26580580,"N",20161110,20161231,"N",0,0
"02/2023",26598400,"S",20170101,0,"N",0,0
"02/2023",26629251,"N",20170101,20181008,"N",0,0
"02/2023",26635933,"S",20161129,0,"N",0,0
"02/2023",26722133,"S",20161215,0,"N",0,0
"02/2023",26734971,"S",20161219,0,"N",0,0
"02/2023",26963960,"S",20170125,0,"N",0,0
"02/2023",26991561,"N",20170131,20190228,"N",0,0
"02/2023",27149339,"N",20170220,20190902,"N",0,0
"02/2023",27210606,"S",20170302,0,"N",0,0
"02/2023",27239413,"S",20170306,0,"N",0,0
"02/2023",27261609,"S",20170309,0,"N",0,0
"02/2023",27287304,"S",20170313,0,"N",0,0
"02/2023",27287779,"S",20170313,0,"N",0,0
"02/2023",27465966,"N",20170405,20170405,"N",0,0
"02/2023",27519360,"S",20170412,0,"N",0,0
"02/2023",27555752,"S",20170419,0,"N",0,0
"02/2023",27591691,"S",20170425,0,"N",0,0
"02/2023",27691967,"S",20220101,0,"N",0,0
"02/2023",27762929,"S",20170517,0,"N",0,0
"02/2023",27836317,"N",20170529,20181231,"N",0,0
"02/2023",27932506,"N",20170609,20191231,"N",0,0
"02/2023",27936709,"S",20170609,0,"N",0,0
"02/2023",28026175,"S",20170622,0,"N",0,0
"02/2023",28099234,"N",20170703,20181231,"N",0,0
"02/2023",28171123,"S",20170712,0,"N",0,0
"02/2023",28265553,"N",20170726,20171231,"N",0,0
"02/2023",28326127,"N",20170802,20170802,"N",0,0
"02/2023",28410689,"S",20170814,0,"N",0,0
"02/2023",28456015,"S",20170817,0,"N",0,0
"02/2023",28488841,"S",20170823,0,"N",0,0
"02/2023",28494503,"S",20170824,0,"N",0,0
"02/2023",28519458,"S",20170828,0,"N",0,0
"02/2023",28569677,"N",20170904,20190331,"N",0,0
"02/2023",28685070,"S",20170920,0,"N",0,0
"02/2023",28685478,"N",20170918,20190527,"N",0,0
"02/2023",28699518,"S",20170921,0,"N",0,0
"02/2023",28716360,"N",20170922,20190517,"N",0,0
"02/2023",28719022,"S",20170914,0,"N",0,0
"02/2023",28730572,"S",20210101,0,"N",0,0
"02/2023",28754529,"S",20180101,0,"N",0,0
"02/2023",28803632,"N",20171005,20220815,"N",0,0
"02/2023",28833111,"N",20171009,20210709,"N",0,0
"02/2023",28890885,"N",20171019,20210731,"N",0,0
"02/2023",29032824,"S",20171108,0,"N",0,0
"02/2023",29315352,"S",20180101,0,"N",0,0
"02/2023",29315410,"S",20171222,0,"N",0,0
"02/2023",29320446,"S",20200101,0,"N",0,0
"02/2023",29388745,"S",20180109,0,"N",0,0
"02/2023",29433714,"S",20210101,0,"N",0,0
"02/2023",29437424,"S",20180115,0,"N",0,0
"02/2023",29448621,"S",20210101,0,"N",0,0
"02/2023",29468330,"S",20210101,0,"N",0,0
"02/2023",29478746,"S",20180119,0,"N",0,0
"02/2023",29695953,"S",20220101,0,"N",0,0
"02/2023",29750499,"S",20180222,0,"N",0,0
"02/2023",30192244,"S",20210101,0,"N",0,0
"02/2023",30290406,"S",20180424,0,"N",0,0
"02/2023",30343616,"S",20190101,0,"N",0,0
"02/2023",30479569,"N",20180516,20191217,"N",0,0
"02/2023",30483859,"S",20210101,0,"N",0,0
"02/2023",30547426,"N",20070701,20070701,"N",0,0
"02/2023",30557715,"S",20180525,0,"N",0,0
"02/2023",30668059,"S",20180611,0,"N",0,0
"02/2023",30962460,"S",20180718,0,"N",0,0
"02/2023",31000373,"S",20210101,0,"N",0,0
"02/2023",31299714,"S",20180822,0,"N",0,0
"02/2023",31393211,"S",20180831,0,"N",0,0
"02/2023",31719532,"N",20181009,20210831,"N",20181009,20210630
"02/2023",31727108,"S",20200101,0,"N",0,0
"02/2023",31875664,"S",20210101,0,"N",0,0
"02/2023",32242050,"N",20181212,20181212,"N",0,0
"02/2023",4413971,"N",20070701,20071231,"N",0,0
"02/2023",4458130,"N",20160101,20171227,"N",0,0
"02/2023",4504694,"N",20070701,20150209,"N",0,0
"02/2023",4519608,"S",20140101,0,"N",0,0
"02/2023",4573221,"N",20070701,20070701,"N",0,0
"02/2023",4598204,"S",20110101,0,"N",0,0
"02/2023",4617158,"N",20070701,20070701,"N",0,0
"02/2023",4643693,"S",20160101,0,"N",0,0
"02/2023",4698732,"N",20140101,20151231,"N",0,0
"02/2023",4750248,"N",20150101,20180531,"N",0,0
"02/2023",4761129,"N",20130101,20131231,"N",0,0
"02/2023",4808320,"N",20070701,20081231,"N",0,0
"02/2023",4824471,"S",20160101,0,"N",0,0
"02/2023",4856043,"N",20070701,20070701,"N",0,0
"02/2023",4870076,"N",20120101,20161231,"N",0,0
"02/2023",4872117,"N",20070701,20070701,"N",0,0
"02/2023",4977637,"N",20080101,20080101,"N",0,0
"02/2023",4985197,"N",20130101,20161231,"N",0,0
"02/2023",4993208,"N",20070701,20081231,"N",0,0
"02/2023",5033531,"N",20080101,20161231,"N",0,0
"02/2023",5038684,"N",20070701,20070701,"N",0,0
"02/2023",5041145,"N",20070701,20070701,"N",0,0
"02/2023",5093501,"N",20180101,20201231,"N",0,0
"02/2023",5110913,"S",20070701,0,"N",0,0
"02/2023",5155497,"N",20070701,20190422,"N",0,0
"02/2023",5169266,"S",20070701,0,"N",0,0
"02/2023",5188117,"N",20070701,20121231,"N",0,0
"02/2023",5218036,"S",20070701,0,"N",0,0
"02/2023",5220305,"S",20160101,0,"N",0,0
"02/2023",5245911,"N",20070701,20071231,"N",0,0
"02/2023",5261642,"N",20110101,20111231,"N",0,0
"02/2023",5309826,"N",20090101,20121231,"N",0,0
"02/2023",5314536,"N",20070701,20070701,"N",0,0
"02/2023",5336547,"N",20090101,20161231,"N",0,0
"02/2023",5347876,"N",20070701,20150209,"N",0,0
"02/2023",5366070,"N",20120101,20120101,"N",0,0
"02/2023",5430184,"N",20170101,20181231,"N",0,0
"02/2023",5435866,"N",20070701,20070701,"N",0,0
"02/2023",5470389,"N",20070701,20160609,"N",0,0
"02/2023",5473056,"N",20090101,20121231,"N",0,0
"02/2023",5475170,"N",20170101,20181231,"N",0,0
"02/2023",5504058,"N",20070701,20151231,"N",0,0
"02/2023",5537666,"S",20070701,0,"N",0,0
"02/2023",5553109,"N",20110101,20171215,"N",0,0
"02/2023",5559312,"N",20080101,20161231,"N",0,0
"02/2023",5559670,"N",20070701,20070701,"N",0,0
"02/2023",5576694,"S",20070701,0,"N",0,0
"02/2023",5596581,"N",20090101,20181231,"N",0,0
"02/2023",5623875,"S",20100101,0,"N",0,0
"02/2023",5629338,"N",20070701,20071231,"N",0,0
"02/2023",5632250,"N",20070701,20071231,"N",0,0
"02/2023",5743607,"N",20080101,20161231,"N",0,0
"02/2023",5746582,"S",20070701,0,"N",0,0
"02/2023",5800259,"S",20110101,0,"N",0,0
"02/2023",5809825,"N",20070701,20161231,"N",0,0
"02/2023",5830069,"N",20110101,20181231,"N",0,0
"02/2023",5849041,"N",20100101,20120731,"N",0,0
"02/2023",5860550,"N",20070701,20070701,"N",0,0
"02/2023",5876366,"S",20210101,0,"N",0,0
"02/2023",5933020,"N",20090101,20171231,"N",0,0
"02/2023",5948270,"N",20080101,20131231,"N",0,0
"02/2023",5953198,"N",20070701,20151231,"N",0,0
"02/2023",5954790,"N",20100101,20151231,"N",0,0
"02/2023",5963688,"N",20120101,20190205,"N",0,0
"02/2023",5965738,"N",20090101,20130315,"N",0,0
"02/2023",5995624,"N",20100101,20131231,"N",0,0
"02/2023",5995753,"N",20070701,20081231,"N",0,0
"02/2023",6015015,"N",20070701,20070701,"N",0,0
"02/2023",6051218,"N",20080101,20140228,"N",0,0
"02/2023",6066171,"N",20080101,20181231,"N",0,0
"02/2023",6072911,"N",20070701,20111130,"N",0,0
"02/2023",6080318,"S",20090101,0,"N",0,0
"02/2023",6086048,"S",20150101,0,"N",0,0
"02/2023",6103689,"N",20090101,20090101,"N",0,0
"02/2023",6117763,"N",20080101,20080101,"N",0,0
"02/2023",6158846,"N",20150101,20191231,"N",0,0
"02/2023",6214131,"N",20070701,20161231,"N",0,0
"02/2023",6222413,"N",20070701,20171231,"N",0,0
"02/2023",6235792,"S",20090101,0,"N",0,0
"02/2023",6246127,"S",20070701,0,"N",0,0
"02/2023",6284868,"N",20070701,20171231,"N",0,0
"02/2023",6286920,"N",20090101,20090101,"N",0,0
"02/2023",6287179,"N",20170101,20221231,"N",0,0
"02/2023",6290500,"N",20080101,20150515,"N",0,0
"02/2023",6321146,"N",20070701,20110726,"N",0,0
"02/2023",6369895,"N",20070701,20211231,"N",0,0
"02/2023",6697321,"N",20070701,20150630,"N",0,0
"02/2023",6866279,"N",20070701,20091231,"N",0,0
"02/2023",6940637,"N",20070701,20070701,"N",0,0
"02/2023",6968664,"N",20070701,20091231,"N",0,0
"02/2023",6982369,"N",20070701,20121231,"N",0,0
"02/2023",6997577,"N",20090101,20090101,"N",0,0
"02/2023",7002661,"N",20070701,20071231,"N",0,0
"02/2023",7081322,"N",20090101,20111231,"N",0,0
"02/2023",7157196,"S",20100101,0,"N",0,0
"02/2023",7199012,"N",20120101,20181231,"N",0,0
"02/2023",7212773,"S",20070701,0,"N",0,0
"02/2023",7217922,"N",20170101,20170101,"N",0,0
"02/2023",7220281,"S",20080101,0,"N",0,0
"02/2023",7259816,"N",20070701,20081231,"N",0,0
"02/2023",7289968,"N",20070701,20071231,"N",0,0
"02/2023",7311289,"N",20070701,20070701,"N",0,0
"02/2023",7364279,"S",20090101,0,"N",0,0
"02/2023",7370784,"N",20070701,20071231,"N",0,0
"02/2023",7417529,"N",20110101,20120131,"N",0,0
"02/2023",7432753,"N",20140101,20191231,"N",0,0
"02/2023",7453592,"S",20150101,0,"N",0,0
"02/2023",7465102,"S",20100101,0,"N",0,0
"02/2023",32576947,"N",20190128,20220930,"N",20190128,20220731
"02/2023",32892397,"S",20200101,0,"N",0,0
"02/2023",33895221,"S",20210101,0,"N",0,0
"02/2023",33921491,"S",20190613,0,"N",0,0
"02/2023",34017848,"S",20140101,0,"N",0,0
"02/2023",34347138,"N",20070701,20081231,"N",0,0
"02/2023",34455722,"N",20190807,20210131,"N",0,0
"02/2023",34504742,"S",20190812,0,"N",0,0
